id,category,description,location,danger_score,health_risk,environment_damage,infrastructure_damage,fire_risk,flooding_indicator,urgency_keywords_score,human_harm_risk
454,Environmental Pollution,Thick smoke from nearby factory.,Lekki,0.34,0.16,0.65,0.41,0.79,0.97,0.8,0.25
455,Water Leakage,Strong water pressure burst the pipe overnight.,Ikorodu,0.48,0.36,0.51,0.96,0.98,0.9,0.69,0.56
456,Water Leakage,Burst water pipe wasting clean water.,Badagry,0.49,0.51,0.64,0.6,0.12,0.69,0.99,0.85
457,Electricity Outage,Power outage for 48 hours.,Yaba,0.46,0.33,0.16,0.88,0.73,0.42,0.56,0.77
458,Electricity Outage,Electric poles tilted dangerously.,Abule Egba,0.23,0.74,0.22,0.26,0.74,0.5,0.36,0.85
459,Fire Hazard,Electric wire sparking near transformer.,Lekki,0.41,0.7,0.23,0.26,0.62,0.9,0.52,0.2
460,Environmental Pollution,Burning refuse causing air pollution.,Lekki,0.37,0.5,0.2,0.14,0.96,0.13,0.53,0.51
461,Security Issue,Suspicious gang movement reported.,Yaba,0.73,1.0,0.11,0.25,0.4,0.36,0.66,0.64
462,Street Light Fault,Street light not working for 2 weeks.,Surulere,0.79,0.51,0.57,0.87,0.88,0.78,0.74,0.47
463,Water Leakage,Strong water pressure burst the pipe overnight.,Ikeja,0.15,0.71,0.66,0.87,0.63,0.79,0.72,0.48
464,Blocked Drainage,Sewage water overflowing onto the street.,Maryland,0.53,0.47,0.61,0.51,0.1,0.21,0.75,0.28
465,Flooding,Floodwater entering shops and houses.,Ikeja,0.33,0.13,0.66,0.68,0.64,0.99,0.74,0.95
466,Security Issue,Residents robbed by armed men.,Badagry,0.2,0.34,0.42,0.45,0.51,0.85,0.84,0.81
467,Electricity Outage,Electric poles tilted dangerously.,Victoria Island,0.33,0.99,0.79,1.0,0.71,0.53,0.35,0.79
468,Water Leakage,Water leakage causing erosion.,Agege,0.29,0.4,0.6,0.2,0.68,0.3,0.49,0.81
469,Security Issue,Residents robbed by armed men.,Surulere,0.63,0.4,0.22,0.65,0.71,0.54,0.5,0.55
470,Road Damage,Large pothole causing traffic buildup.,Ikeja,0.23,0.66,0.37,0.42,0.54,0.73,0.7,0.24
471,Water Leakage,Strong water pressure burst the pipe overnight.,Ikeja,0.44,0.42,0.72,0.25,0.66,0.59,0.62,0.36
472,Waste Management,Overflowing waste bins causing smell and flies.,Abule Egba,0.21,0.14,0.25,0.63,0.97,0.17,0.33,0.24
473,Blocked Drainage,Drainage filled with plastic waste.,Oshodi,0.16,0.76,0.84,0.78,0.54,0.96,0.97,0.43
474,Environmental Pollution,Oil spill contaminating the ground.,Yaba,0.27,0.16,0.74,0.78,0.19,0.55,0.94,0.71
475,Blocked Drainage,Blocked gutter causing mosquitoes.,Oshodi,0.48,0.72,0.17,0.82,0.88,0.5,0.84,0.23
476,Water Leakage,Water leakage causing erosion.,Agege,0.69,0.31,0.56,0.34,0.28,0.11,0.79,0.82
477,Fire Hazard,Gas smell around the building.,Abule Egba,0.26,0.22,0.23,0.24,0.52,0.13,0.85,0.12
478,Fire Hazard,Gas smell around the building.,Ikorodu,0.26,0.15,0.66,0.83,0.72,0.42,0.63,0.62
479,Flooding,Severe flooding due to blocked drainage.,Agege,0.56,0.24,0.42,0.84,0.68,0.73,0.41,0.75
480,Water Leakage,Burst water pipe wasting clean water.,Oshodi,0.5,0.98,0.43,0.5,0.52,0.38,0.45,0.92
481,Waste Management,Overflowing waste bins causing smell and flies.,Ajah,0.41,0.77,0.54,0.38,0.79,0.36,0.93,0.88
482,Blocked Drainage,Blocked gutter causing mosquitoes.,Berger,0.85,0.82,0.97,0.4,0.63,0.95,0.39,0.87
483,Blocked Drainage,Blocked gutter causing mosquitoes.,Ajah,0.48,0.15,0.56,0.75,0.32,0.21,0.89,0.25
484,Security Issue,Area experiencing constant theft at night.,Ajah,0.39,0.78,0.25,0.12,0.2,0.5,0.51,0.78
485,Waste Management,Illegal dumping of refuse beside the road.,Badagry,0.58,0.61,0.11,0.64,0.56,0.52,0.58,0.96
486,Street Light Fault,Completely dark area at night due to faulty light.,Surulere,0.16,0.42,0.5,0.77,0.18,0.77,0.98,0.43
487,Water Leakage,Water leakage causing erosion.,Agege,0.19,0.63,0.76,0.27,0.98,0.67,0.41,0.41
488,Electricity Outage,Electric poles tilted dangerously.,Festac,0.17,0.2,0.61,0.93,0.72,0.53,0.76,0.35
489,Waste Management,Overflowing waste bins causing smell and flies.,Ikorodu,0.62,0.24,0.81,0.52,0.86,0.72,0.87,0.57
490,Fire Hazard,Gas smell around the building.,Abule Egba,0.17,0.27,0.71,0.86,0.85,0.31,0.71,0.36
491,Fire Hazard,Electric wire sparking near transformer.,Lekki,0.39,0.14,0.36,0.88,0.1,0.67,0.96,0.11
492,Road Damage,Damaged road making it difficult for vehicles to pass.,Surulere,0.73,0.18,0.66,0.24,0.14,0.65,0.6,0.26
493,Waste Management,Illegal dumping of refuse beside the road.,Festac,0.22,0.96,0.76,0.65,0.44,0.57,0.91,0.51
494,Environmental Pollution,Burning refuse causing air pollution.,Berger,0.39,0.21,0.49,0.46,0.5,0.91,0.76,0.91
495,Electricity Outage,Transformer sparking and making noise.,Oshodi,0.4,0.12,0.39,0.76,0.39,0.95,0.85,0.47
496,Environmental Pollution,Thick smoke from nearby factory.,Yaba,0.4,0.22,0.91,0.37,0.62,0.31,0.16,0.91
497,Blocked Drainage,Drainage filled with plastic waste.,Abule Egba,0.83,0.14,0.13,0.54,0.93,0.8,0.29,0.99
498,Fire Hazard,Electric wire sparking near transformer.,Abule Egba,0.5,0.63,0.72,0.6,0.98,0.34,0.71,0.39
499,Fire Hazard,Smoke coming from abandoned structure.,Berger,0.28,0.46,0.17,0.79,0.6,0.11,0.39,0.31
500,Street Light Fault,Flickering light causing visibility issues.,Lekki,0.22,0.44,0.28,0.26,0.59,0.44,0.28,0.67
